brand,description,link,price,discount
WROGN,55 L Laptop Backpack Laptop backpack spacy unisex backp...,/wrogn-laptop-backpack-spacy-unisex-fits-upto-16-inches-college-bag-school-bag-55-l/p/itm0171fa2feb0c4?pid=BKPGHCJCDMQPSCU9&lid=LSTBKPGHCJCDMQPSCU9OOXRJP&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_1&otracker=search&fm=organic&iid=en_FtK9nqzhOKtP9biy%2B8qeXbggH4G94yrZaCfyhHnujnzu6VJpuvHasa0WptfVrFuFAgxHz1xohMmwEV1wQczUYA%3D%3D&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹779,80% off
,"Gotrippin Waist Bag for Men,Women; Fanny Pack for Hikin...",/gotrippin-waist-bag-men-women-fanny-pack-hiking-travel-camping-running-adjustable-strap-water-resistant-polyester-money-belt-phone-passport-wallet-dark-grey/p/itm1358579f77032?pid=WSBFVXCG6F94JHBK&lid=LSTWSBFVXCG6F94JHBK85KZMT&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_2&otracker=search&fm=organic&iid=en_FtK9nqzhOKtP9biy%2B8qeXbggH4G94yrZaCfyhHnujnxh3DB8gZ010%2BAo%2BHm791rs73q9E6gaAZpqwfX0MJWXrg%3D%3D&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹999,28% off
SKYBAGS,21.65 L Backpack BRAT,/skybags-brat-21-65-l-backpack/p/itm04aff3ff6fb19?pid=BKPGF764YQBHHGWJ&lid=LSTBKPGF764YQBHHGWJBUHHOK&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_3&otracker=search&fm=organic&iid=52c5cd1f-59ad-41ee-8055-359a2f299b61.BKPGF764YQBHHGWJ.SEARCH&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹639,69% off
Mi,Small 12 L Backpack Step Out 12 liters Water Repellent ...,/mi-step-out-12-liters-water-repellent-backpack-l/p/itm019a85a6c08e3?pid=BKPFT348KJV2GCKS&lid=LSTBKPFT348KJV2GCKSHSIOHA&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_4&otracker=search&fm=organic&iid=52c5cd1f-59ad-41ee-8055-359a2f299b61.BKPFT348KJV2GCKS.SEARCH&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹345,30% off
PROVOGUE,41.5 L Laptop Backpack Spacy Freeride Unisex Bag with r...,/provogue-spacy-freeride-unisex-bag-rain-cover-office-school-college-businessb-41-5l-41-5-l-backpack/p/itm7e6588a0bf934?pid=BKPGG8FBFRDXSCZX&lid=LSTBKPGG8FBFRDXSCZX6GPTCT&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_5&otracker=search&fm=organic&iid=52c5cd1f-59ad-41ee-8055-359a2f299b61.BKPGG8FBFRDXSCZX.SEARCH&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹786,82% off
selvee,Large 35 L Laptop Backpack Premium Quality School/Casua...,/selvee-premium-quality-school-casual-backpack-35-l/p/itm5e14c62e0aebd?pid=BKPGJWGEZQFZSZHE&lid=LSTBKPGJWGEZQFZSZHEM453EG&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_6&otracker=search&fm=organic&iid=52c5cd1f-59ad-41ee-8055-359a2f299b61.BKPGJWGEZQFZSZHE.SEARCH&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹299,78% off
WROGN,Large 35 L Laptop Backpack Axe Unisex laptop/college/sc...,/wrogn-axe-unisex-laptop-college-school-travel-backpack-35-l/p/itm30f8f78fe80a2?pid=BKPGJNVVBUH384CB&lid=LSTBKPGJNVVBUH384CB0BELQF&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_7&otracker=search&fm=organic&iid=52c5cd1f-59ad-41ee-8055-359a2f299b61.BKPGJNVVBUH384CB.SEARCH&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹491,80% off
divulge,"Small 18 L Backpack Thunder Drawstring bag Daypack, Spo...",/divulge-thunder-drawstring-bag-daypack-sports-bag-gym-bags-yoga-zip-pocket-18-l-backpack/p/itmbffdaa477e2d3?pid=BKPGFTXFGGHGCFTM&lid=LSTBKPGFTXFGGHGCFTMPZ1JYM&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_8&otracker=search&fm=organic&iid=en_FtK9nqzhOKtP9biy%2B8qeXbggH4G94yrZaCfyhHnujnz0BXRgzkEo%2BcwAthAMKEuueD1bBwx3GFmvr0hayF2A7A%3D%3D&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹259,48% off
PROVOGUE,41.5 L Laptop Backpack Spacy Freeride Unisex Bag with r...,/provogue-spacy-freeride-unisex-bag-rain-cover-office-school-college-businessc-41-5l-41-5-l-backpack/p/itmef260a78add3f?pid=BKPGG8DB6WKDWABQ&lid=LSTBKPGG8DB6WKDWABQFWK359&marketplace=FLIPKART&q=bags&store=search.flipkart.com&spotlightTagId=BestvalueId_search.flipkart.com&srno=s_1_9&otracker=search&fm=organic&iid=52c5cd1f-59ad-41ee-8055-359a2f299b61.BKPGG8DB6WKDWABQ.SEARCH&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹786,82% off
WROGN,Large 35 L Laptop Backpack Axe Unisex laptop/college/sc...,/wrogn-axe-unisex-laptop-college-school-travel-backpack-35-l/p/itmcf0c3ce6587a5?pid=BKPGJNVVPY9JDH2R&lid=LSTBKPGJNVVPY9JDH2RPP7HID&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_10&otracker=search&fm=organic&iid=52c5cd1f-59ad-41ee-8055-359a2f299b61.BKPGJNVVPY9JDH2R.SEARCH&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹491,80% off
Flycraft,Medium 30 L Laptop Backpack simna.1361/2 red grey casua...,/flycraft-simna-1361-2-red-grey-casual-unisex-travel-office-massenger-school-backpack-30-l/p/itm6929dff7b2e4f?pid=BKPFN44KHTPGTKSR&lid=LSTBKPFN44KHTPGTKSRFKNVCZ&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_11&otracker=search&fm=organic&iid=52c5cd1f-59ad-41ee-8055-359a2f299b61.BKPFN44KHTPGTKSR.SEARCH&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹539,55% off
TRAVEL POINT,Medium 25 L Laptop Backpack for Office/College/School/T...,/travel-point-office-college-school-travel-25-l-backpack/p/itmbed73acc4bd6a?pid=BKPGESHBTPVH7UPR&lid=LSTBKPGESHBTPVH7UPRGCC1J8&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_12&otracker=search&fm=organic&iid=en_FtK9nqzhOKtP9biy%2B8qeXbggH4G94yrZaCfyhHnujnz2jONVIEPuZF9aH0cqPSiAGzGb1Rsu8BQOU8DclJrmug%3D%3D&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹550,81% off
Mi,Small 12 L Backpack Step Out 12 liters Water Repellent ...,/mi-step-out-12-liters-water-repellent-backpack-l/p/itm189856be89811?pid=BKPFT348ARGYEKG7&lid=LSTBKPFT348ARGYEKG7WZ7SDJ&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_13&otracker=search&fm=organic&iid=52c5cd1f-59ad-41ee-8055-359a2f299b61.BKPFT348ARGYEKG7.SEARCH&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹299,40% off
F GEAR,Medium 26 L Backpack Burner V2,/f-gear-burner-v2-26-l-backpack/p/itmf3umapnpkhszn?pid=BKPENSTYU3HFGSNE&lid=LSTBKPENSTYU3HFGSNEQ5HX6Q&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_14&otracker=search&fm=organic&iid=52c5cd1f-59ad-41ee-8055-359a2f299b61.BKPENSTYU3HFGSNE.SEARCH&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹674,59% off
PROVOGUE,45.5 L Laptop Backpack Spacy unisex bag with rain cover...,/provogue-spacy-unisex-bag-rain-cover-office-school-college-business-45-5l-1900-g-45-5-l-backpack/p/itm5167f4446f580?pid=BKPGFAFJPEQU8MCG&lid=LSTBKPGFAFJPEQU8MCGSXNCKX&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_15&otracker=search&fm=organic&iid=52c5cd1f-59ad-41ee-8055-359a2f299b61.BKPGFAFJPEQU8MCG.SEARCH&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹997,81% off
Jeton,Small 14 L Backpack Small Outdoor Mini Backpack 14L Day...,/jeton-small-outdoor-mini-backpack-14l-daypack-14-l/p/itm25be6d9f963b7?pid=BKPGKSWBVHFTTGY8&lid=LSTBKPGKSWBVHFTTGY8PYXFOU&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_16&otracker=search&fm=organic&iid=en_FtK9nqzhOKtP9biy%2B8qeXbggH4G94yrZaCfyhHnujnypn%2BbgLS50senodI1M5QLcC6rvoV%2F5vefGfOt7idA%2FxA%3D%3D&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹449,55% off
PROVOGUE,41.5 L Laptop Backpack Spacy Freeride Unisex Bag with r...,/provogue-spacy-freeride-unisex-bag-rain-cover-ofc-school-college-businessa-41-5l-41-5-l-backpack/p/itmfb53f2b4574be?pid=BKPGG8F2Z35ZXEMB&lid=LSTBKPGG8F2Z35ZXEMBVMLZY5&marketplace=FLIPKART&q=bags&store=search.flipkart.com&spotlightTagId=BestvalueId_search.flipkart.com&srno=s_1_17&otracker=search&fm=organic&iid=52c5cd1f-59ad-41ee-8055-359a2f299b61.BKPGG8F2Z35ZXEMB.SEARCH&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹786,82% off
PROVOGUE,45.5 L Laptop Backpack Spacy unisex bag with rain cover...,/provogue-spacy-unisex-bag-rain-cover-office-school-college-business-45-5l-1900-b-45-5-l-backpack/p/itm5dbd591665d30?pid=BKPGFA2VC3WHGGXW&lid=LSTBKPGFA2VC3WHGGXWCGDT8U&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_18&otracker=search&fm=organic&iid=52c5cd1f-59ad-41ee-8055-359a2f299b61.BKPGFA2VC3WHGGXW.SEARCH&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹997,81% off
perfactstar,Large 75 L Backpack PERFECT STAR TREKKING BACKPACK BAG ...,/perfactstar-perfect-star-trekking-backpack-bag-75l-75-l/p/itmee36579690335?pid=BKPGBBPZAEAHF5YZ&lid=LSTBKPGBBPZAEAHF5YZA8QN6E&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_19&otracker=search&fm=organic&iid=52c5cd1f-59ad-41ee-8055-359a2f299b61.BKPGBBPZAEAHF5YZ.SEARCH&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹644,78% off
SAFARI,Large 37 L Backpack echo,/safari-echo-37-l-backpack/p/itm4b20af8d0efab?pid=BKPGGEBMS5DVTRB4&lid=LSTBKPGGEBMS5DVTRB4MXUMMQ&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_20&otracker=search&fm=organic&iid=en_FtK9nqzhOKtP9biy%2B8qeXbggH4G94yrZaCfyhHnujnxtZV2TmD7rh%2B02HsQYpyvwxEoqUC3EmGixnrUdMOnBbQ%3D%3D&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,"₹1,499",21% off
SKYBAGS,21.65 L Backpack BRAT,/skybags-brat-21-65-l-backpack/p/itma15144b840430?pid=BKPGF764YMNH4TGG&lid=LSTBKPGF764YMNH4TGGTIAS8L&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_21&otracker=search&fm=organic&iid=52c5cd1f-59ad-41ee-8055-359a2f299b61.BKPGF764YMNH4TGG.SEARCH&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹659,68% off
LOUIS CARON,Medium 30 L Backpack Design Laptop Backpack,/louis-caron-design-laptop-backpack-30-l/p/itmfdqy73bjgv9gk?pid=BKPFDPSEJSCXW6DC&lid=LSTBKPFDPSEJSCXW6DCCSSY5Q&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_22&otracker=search&fm=organic&iid=52c5cd1f-59ad-41ee-8055-359a2f299b61.BKPFDPSEJSCXW6DC.SEARCH&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹441,74% off
Flycraft,Large 35 L Laptop Backpack simna.1378 large 35 L airpor...,/flycraft-simna-1378-large-35-l-airport-blue-spacy-unisex-laptop-backpack-rain-cover-reflective-strip-style/p/itm968e7e91d1673?pid=BKPG54CSACWR5BXF&lid=LSTBKPG54CSACWR5BXFLPKR2P&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_23&otracker=search&fm=organic&iid=52c5cd1f-59ad-41ee-8055-359a2f299b61.BKPG54CSACWR5BXF.SEARCH&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹749,75% off
