IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
120058272,WEAPON LAWS,POSS OF PROHIBITED WEAPON,Friday,01/29/2016 12:00:00 AM,11:00,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.4034048,37.77542071,"(37.775420706711, -122.403404791479)",1.20058E+13
120058272,WEAPON LAWS,"FIREARM, LOADED, IN VEHICLE, POSSESSION OR USE",Friday,01/29/2016 12:00:00 AM,11:00,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.4034048,37.77542071,"(37.775420706711, -122.403404791479)",1.20058E+13
141059263,WARRANTS,WARRANT ARREST,Monday,04/25/2016 12:00:00 AM,14:59,BAYVIEW,"ARREST, BOOKED",KEITH ST / SHAFTER AV,-122.3888562,37.72998097,"(37.7299809672996, -122.388856204292)",1.41059E+13
160013662,NON-CRIMINAL,LOST PROPERTY,Tuesday,01-05-2016 00:00,23:50,TENDERLOIN,NONE,JONES ST / OFARRELL ST,-122.4129705,37.78578838,"(37.7857883766888, -122.412970537591)",1.60014E+13
160002740,NON-CRIMINAL,LOST PROPERTY,Friday,01-01-2016 00:00,00:30,MISSION,NONE,16TH ST / MISSION ST,-122.4196718,37.76505012,"(37.7650501214668, -122.419671780296)",1.60003E+13
160002869,ASSAULT,BATTERY,Friday,01-01-2016 00:00,21:35,NORTHERN,NONE,1700 Block of BUSH ST,-122.4260772,37.78801856,"(37.788018555829, -122.426077177375)",1.60003E+13
160003130,OTHER OFFENSES,PAROLE VIOLATION,Saturday,01-02-2016 00:00,00:04,SOUTHERN,"ARREST, BOOKED",MARY ST / HOWARD ST,-122.4057215,37.78087894,"(37.7808789360214, -122.405721454567)",1.60003E+13
160003259,NON-CRIMINAL,FIRE REPORT,Saturday,01-02-2016 00:00,01:02,TENDERLOIN,NONE,200 Block of EDDY ST,-122.4117783,37.78398056,"(37.7839805592634, -122.411778295992)",1.60003E+13
160003970,WARRANTS,WARRANT ARREST,Saturday,01-02-2016 00:00,12:21,SOUTHERN,"ARREST, BOOKED",4TH ST / BERRY ST,-122.3933572,37.77578762,"(37.7757876218293, -122.393357241451)",1.60004E+13
160003641,MISSING PERSON,FOUND PERSON,Friday,01-01-2016 00:00,10:06,BAYVIEW,NONE,100 Block of CAMERON WY,-122.3871816,37.72096696,"(37.7209669615499, -122.387181635995)",1.60004E+13
160086863,LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,Friday,01/29/2016 12:00:00 AM,22:30,TARAVAL,NONE,1200 Block of 19TH AV,-122.4773765,37.76447816,"(37.7644781578695, -122.477376524003)",1.60087E+13
160004053,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,01-02-2016 00:00,13:30,TARAVAL,NONE,2200 Block of 21ST AV,-122.4779603,37.74573894,"(37.7457389429655, -122.477960327299)",1.60004E+13
160073014,OTHER OFFENSES,RESISTING ARREST,Monday,01/25/2016 12:00:00 AM,23:20,BAYVIEW,"ARREST, BOOKED",200 Block of HUNTERSPOINT BL,-122.3767577,37.73569703,"(37.7356970275482, -122.37675765553)",1.60073E+13
140776777,ASSAULT,AGGRAVATED ASSAULT WITH A GUN,Thursday,09/15/2016 12:00:00 AM,07:40,INGLESIDE,"ARREST, BOOKED",SILVER AV / CAMELLIA AV,-122.4323259,37.72927052,"(37.7292705199592, -122.432325871028)",1.40777E+13
160004069,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",Saturday,01-02-2016 00:00,01:43,CENTRAL,NONE,100 Block of SANSOME ST,-122.4009087,37.79164298,"(37.791642982384, -122.40090869889)",1.60004E+13
160004150,STOLEN PROPERTY,"STOLEN CHECKS, POSSESSION",Saturday,01-02-2016 00:00,11:54,SOUTHERN,"ARREST, BOOKED",900 Block of MARKET ST,-122.4085951,37.78370693,"(37.7837069301545, -122.408595110869)",1.60004E+13
160004241,ROBBERY,"ROBBERY, ARMED WITH A KNIFE",Saturday,01-02-2016 00:00,14:11,MISSION,NONE,900 Block of POTRERO AV,-122.4068704,37.75728959,"(37.7572895904578, -122.406870402082)",1.60004E+13
160004558,ASSAULT,BATTERY WITH SERIOUS INJURIES,Saturday,01-02-2016 00:00,16:40,MISSION,NONE,VALENCIA ST / 26TH ST,-122.4203548,37.74890631,"(37.7489063051829, -122.420354780861)",1.60005E+13
160004655,ASSAULT,BATTERY,Saturday,01-02-2016 00:00,17:05,INGLESIDE,NONE,900 Block of GENEVA AV,-122.4399098,37.71576543,"(37.715765426995, -122.439909766772)",1.60005E+13
160004837,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Saturday,01-02-2016 00:00,17:39,SOUTHERN,JUVENILE BOOKED,900 Block of MARKET ST,-122.4084211,37.78356994,"(37.7835699386918, -122.408421116922)",1.60005E+13
160005421,FRAUD,FRAUDULENT USE OF AUTOMATED TELLER CARD,Saturday,01-02-2016 00:00,21:00,NORTHERN,NONE,GOUGH ST / ROSE ST,-122.4223157,37.77361863,"(37.7736186276456, -122.422315670749)",1.60005E+13
160005750,WARRANTS,WARRANT ARREST,Sunday,01-03-2016 00:00,04:03,NORTHERN,"ARREST, BOOKED",FRANKLIN ST / WASHINGTON ST,-122.4245198,37.79284128,"(37.7928412840447, -122.424519835009)",1.60006E+13
160005841,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Sunday,01-03-2016 00:00,06:50,MISSION,"ARREST, BOOKED",23RD ST / FOLSOM ST,-122.4142338,37.75409869,"(37.7540986882068, -122.414233849038)",1.60006E+13
160005841,OTHER OFFENSES,PROBATION VIOLATION,Sunday,01-03-2016 00:00,06:50,MISSION,"ARREST, BOOKED",23RD ST / FOLSOM ST,-122.4142338,37.75409869,"(37.7540986882068, -122.414233849038)",1.60006E+13
160006071,ASSAULT,THREATS AGAINST LIFE,Sunday,01-03-2016 00:00,09:38,RICHMOND,"ARREST, BOOKED",FULTON ST / 47TH AV,-122.5077501,37.771494,"(37.7714939969416, -122.507750131004)",1.60006E+13
160006598,OTHER OFFENSES,VIOLATION OF STAY AWAY ORDER,Sunday,01-03-2016 00:00,15:09,TARAVAL,"ARREST, BOOKED",0 Block of CAMBON DR,-122.4744446,37.7183022,"(37.718302204766, -122.474444639595)",1.60007E+13
160006770,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Sunday,01-03-2016 00:00,10:30,MISSION,NONE,16TH ST / LANDERS ST,-122.4275626,37.76457523,"(37.7645752317615, -122.427562596985)",1.60007E+13
160006786,BURGLARY,"BURGLARY, VEHICLE (ARREST MADE)",Sunday,01-03-2016 00:00,15:45,NORTHERN,"ARREST, BOOKED",0 Block of HEMLOCK ST,-122.419203,37.78743783,"(37.7874378309112, -122.419203004268)",1.60007E+13
160006952,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Sunday,01-03-2016 00:00,17:02,MISSION,"ARREST, BOOKED",26TH ST / TREAT AV,-122.4126901,37.74936883,"(37.7493688284532, -122.412690142308)",1.60007E+13
160007057,NON-CRIMINAL,AIDED CASE,Sunday,01-03-2016 00:00,17:01,INGLESIDE,NONE,500 Block of CORDOVA ST,-122.4346093,37.70920105,"(37.7092010462379, -122.434609280352)",1.60007E+13
160007110,VEHICLE THEFT,STOLEN TRUCK,Sunday,01-03-2016 00:00,15:40,CENTRAL,NONE,500 Block of POST ST,-122.4108828,37.78792094,"(37.7879209375533, -122.410882825551)",1.60007E+13
160007132,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,01-03-2016 00:00,09:00,CENTRAL,NONE,GREEN ST / BATTERY ST,-122.4014328,37.80045665,"(37.8004566471039, -122.401432754722)",1.60007E+13
160138652,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Tuesday,02/16/2016 12:00:00 AM,12:40,INGLESIDE,NONE,3300 Block of MISSION ST,-122.421128,37.74355505,"(37.7435550542265, -122.421128029505)",1.60139E+13
160138771,ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Tuesday,02/16/2016 12:00:00 AM,13:10,TENDERLOIN,NONE,100 Block of OFARRELL ST,-122.4072441,37.78656476,"(37.7865647607685, -122.407244087032)",1.60139E+13
160139490,RECOVERED VEHICLE,"VEHICLE, RECOVERED, AUTO",Tuesday,02/16/2016 12:00:00 AM,16:35,MISSION,"ARREST, BOOKED",18TH ST / GUERRERO ST,-122.423803,37.76156559,"(37.7615655928045, -122.423803001901)",1.60139E+13
160139490,OTHER OFFENSES,PAROLE VIOLATION,Tuesday,02/16/2016 12:00:00 AM,16:35,MISSION,"ARREST, BOOKED",18TH ST / GUERRERO ST,-122.423803,37.76156559,"(37.7615655928045, -122.423803001901)",1.60139E+13
160007502,NON-CRIMINAL,"DEATH REPORT, NATURAL CAUSES",Sunday,01-03-2016 00:00,19:45,INGLESIDE,NONE,100 Block of AMBER DR,-122.4446855,37.74419275,"(37.7441927508932, -122.444685482273)",1.60008E+13
160148877,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,02/19/2016 12:00:00 AM,16:39,SOUTHERN,NONE,1300 Block of MISSION ST,-122.415757,37.77546928,"(37.7754692820041, -122.415757039196)",1.60149E+13
160009956,ROBBERY,ROBBERY OF A CHAIN STORE WITH BODILY FORCE,Monday,01-04-2016 00:00,17:50,TARAVAL,"ARREST, BOOKED",3200 Block of 20TH AV,-122.4756475,37.72852806,"(37.7285280627465, -122.475647460786)",1.6001E+13
160010323,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Monday,01-04-2016 00:00,20:15,INGLESIDE,NONE,0 Block of VIRGINIA AV,-122.4209674,37.74285174,"(37.7428517374449, -122.420967440564)",1.6001E+13
160010486,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Monday,01-04-2016 00:00,21:20,TENDERLOIN,NONE,100 Block of HYDE ST,-122.4156697,37.78211985,"(37.7821198488931, -122.415669661443)",1.6001E+13
160010492,ASSAULT,THREATS AGAINST LIFE,Sunday,01-03-2016 00:00,21:30,SOUTHERN,NONE,200 Block of 6TH ST,-122.4063464,37.77916742,"(37.7791674218963, -122.406346425632)",1.6001E+13
160010505,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,01-04-2016 00:00,19:40,MISSION,NONE,2300 Block of 16TH ST,-122.4095299,37.76571844,"(37.7657184395282, -122.409529913278)",1.60011E+13
160010511,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,01-04-2016 00:00,21:45,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071,"(37.775420706711, -122.403404791479)",1.60011E+13
