brand,description,link,price,discount
JQR,"MOJ 403 Sports,Running, walking, lightweight Stylish Ru...",/jqr-moj-403-sports-running-walking-lightweight-stylish-running-shoes-men/p/itm01d19209de7a0?pid=SHOGBUR7DQYRBE7B&lid=LSTSHOGBUR7DQYRBE7BYZBTYA&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_1&otracker=search&fm=organic&iid=en_qW8pixY3o%2B95z4jgHsE2%2Fh85a1Cp1c3tbpfiHes2xHWsVxhEWnBbqPV%2B0QbHyQqko17BZUG2oB3OQaa1BO0oXQ%3D%3D&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,₹599,25% off
VENDOZ,Sneakers For Women,/vendoz-sneakers-women/p/itm6c24b909b7d07?pid=SHOFZQZ8JKRD8ZZF&lid=LSTSHOFZQZ8JKRD8ZZFNNMUHI&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_2&otracker=search&fm=organic&iid=en_qW8pixY3o%2B95z4jgHsE2%2Fh85a1Cp1c3tbpfiHes2xHXdavWt%2FkgPna13w%2Bra4Xvfp8ZCxNisIpg7J4oXa2oeyA%3D%3D&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,₹498,50% off
World Wear Footwear,Exclusive Affordable Collection of Trendy & Stylish Spo...,/world-wear-footwear-exclusive-affordable-collection-trendy-stylish-sport-sneakers-shoes-running-men/p/itmf24255ddad36f?pid=SHOGDYWJPGSKFRPG&lid=LSTSHOGDYWJPGSKFRPGURI4HT&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_3&otracker=search&fm=organic&iid=161c6310-56f0-4bd4-a619-119e2a0f3ca2.SHOGDYWJPGSKFRPG.SEARCH&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,₹389,61% off
CAMPUS,MIKE (N) Running Shoes For Men,/campus-mike-n-running-shoes-men/p/itm27c989f1e20c6?pid=SHOG4G3Y6VYVWP9B&lid=LSTSHOG4G3Y6VYVWP9BAQLW9I&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_4&otracker=search&fm=organic&iid=161c6310-56f0-4bd4-a619-119e2a0f3ca2.SHOG4G3Y6VYVWP9B.SEARCH&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,"₹1,199",29% off
PUMA,Jaunt Walking Shoes For Men,/puma-jaunt-walking-shoes-men/p/itmfhus6qyxmsscg?pid=SHOFHUR7UZPAQWBX&lid=LSTSHOFHUR7UZPAQWBXIVWLWU&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_5&otracker=search&fm=organic&iid=161c6310-56f0-4bd4-a619-119e2a0f3ca2.SHOFHUR7UZPAQWBX.SEARCH&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,"₹1,519",62% off
HOTSTYLE,Loafers For Men,/hotstyle-loafers-men/p/itm5694b3a1d6910?pid=SHOG483UHZCVJYUR&lid=LSTSHOG483UHZCVJYURDG7TGU&marketplace=FLIPKART&q=shoes&store=osp&spotlightTagId=BestsellerId_osp&srno=s_1_6&otracker=search&fm=organic&iid=161c6310-56f0-4bd4-a619-119e2a0f3ca2.SHOG483UHZCVJYUR.SEARCH&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,₹376,24% off
PUMA,Disperse XT Men s Walking Shoes For Men,/puma-disperse-xt-men-s-walking-shoes/p/itm383ce8b4374c3?pid=SHOFZFG5KVYMDZC8&lid=LSTSHOFZFG5KVYMDZC8CDMOS5&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_7&otracker=search&fm=organic&iid=161c6310-56f0-4bd4-a619-119e2a0f3ca2.SHOFZFG5KVYMDZC8.SEARCH&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,"₹2,861",42% off
BERSACHE,"Bersache Sports Shoes For Men|Blue For Running,Walking,...",/bersache-sports-shoes-men-blue-running-walking-gym-hiking-running-men/p/itmb3c3829d502f6?pid=SHOGDZ7RZNDJDTYY&lid=LSTSHOGDZ7RZNDJDTYY2CYN70&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_8&otracker=search&fm=organic&iid=en_qW8pixY3o%2B95z4jgHsE2%2Fh85a1Cp1c3tbpfiHes2xHXMhlhtehVcNrAoSCxhxXwAqHZ0CI87K114daaKvt8NZw%3D%3D&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,"₹1,262",65% off
asian,"Express-08 Grey Sports, Walking, Training ,Gym, Walking...",/asian-express-08-grey-sports-walking-training-gym-walking-shoes-men/p/itmc94912d70f943?pid=SHOGD39QDCE6GQHR&lid=LSTSHOGD39QDCE6GQHRFYKZQP&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_9&otracker=search&fm=organic&iid=161c6310-56f0-4bd4-a619-119e2a0f3ca2.SHOGD39QDCE6GQHR.SEARCH&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,₹789,47% off
CAMPUS,MIKE (N) Running Shoes For Men,/campus-mike-n-running-shoes-men/p/itmf8ff8f65cc63f?pid=SHOG2EYZFNJU4FWY&lid=LSTSHOG2EYZFNJU4FWYHK7IZM&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_10&otracker=search&fm=organic&iid=161c6310-56f0-4bd4-a619-119e2a0f3ca2.SHOG2EYZFNJU4FWY.SEARCH&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,"₹1,199",29% off
